"Date","Chrome","Safari","Firefox","Edge","Samsung Internet","Edge Legacy","IE","Opera","Android","Mozilla","360 Safe Browser","UC Browser","Sony PS4","QQ Browser","Unknown","Sogou Explorer","Yandex Browser","Maxthon","Chromium","BlackBerry","Puffin","Pale Moon","Coc Coc","Other"
2020-04,49.73,31.98,4.8,0.42,3.88,4.68,2.1,0.58,0.58,0.33,0.26,0.21,0.08,0.05,0.03,0.04,0.02,0.04,0.05,0.03,0.02,0.02,0.01,0.06
2020-05,51.89,29.56,5.16,0.65,3.54,4.44,2.1,0.66,0.62,0.33,0.27,0.28,0.07,0.06,0.04,0.04,0.03,0.04,0.05,0.03,0.03,0.02,0.02,0.06
2020-06,52.27,28.78,5.3,1.4,3.55,4,2.11,0.68,0.58,0.29,0.29,0.27,0.07,0.06,0.05,0.04,0.03,0.04,0.05,0.04,0.03,0.02,0.01,0.06
2020-07,51.47,29.05,5.53,3.51,3.64,2.25,2.03,0.7,0.55,0.28,0.28,0.23,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05
2020-08,51.15,29.57,5.36,4.27,3.82,1.5,1.87,0.71,0.52,0.28,0.26,0.21,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.05
2020-09,51.77,29.27,5.33,4.62,3.6,1.24,1.82,0.7,0.46,0.29,0.26,0.19,0.07,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.06
2020-10,52.63,29.13,5.03,4.88,3.44,1.07,1.62,0.68,0.45,0.27,0.24,0.17,0.05,0.06,0.04,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.05
2020-11,51.84,29.9,4.83,5.24,3.65,0.82,1.5,0.69,0.46,0.26,0.23,0.17,0.06,0.06,0.08,0.03,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.05
2020-12,51.27,30.29,4.89,5.57,3.56,0.77,1.4,0.71,0.53,0.27,0.22,0.15,0.06,0.05,0.05,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.04
2021-01,51.41,30.15,4.94,5.66,3.58,0.88,1.19,0.72,0.55,0.24,0.19,0.13,0.06,0.04,0.05,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.05
2021-02,52.54,29.38,4.77,5.84,3.52,0.78,1.12,0.74,0.45,0.23,0.17,0.13,0.06,0.04,0.04,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.05
2021-03,53.46,28.61,4.86,5.69,3.44,0.95,1.01,0.73,0.45,0.22,0.17,0.13,0.06,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.04
2021-04,54.09,28.32,5.17,5.57,3.26,0.79,0.83,0.76,0.37,0.23,0.18,0.13,0.06,0.04,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.05
